MODEL_NAME,TASK,BATCH_SIZE,SEQUENCE_LENGTH,CORES,INSTANCES,OLS,MOS,EXTRA,SET_SIZE,PRECISION,OBJECTIVE,THPS,LATENCY,THPJ,
cl-tohoku/bert-base-japanese-char,fill-mask,5,128,1,14,2,, ,3,fp16,best-throughput,2221.8,97.2,35.8,
cl-tohoku/bert-base-japanese-whole-word-masking,fill-mask,6,128,7,2,2,7, -multicast-weights,3,fp16,best-throughput,674.1,55.6,17.7,
cross-encoder/ms-marco-MiniLM-L-12-v2,text-classification,8,128,2,7,2,1, -multicast-weights,4,fp16,best-throughput,4999.1,47,84.7,
dbmdz/bert-base-italian-xxl-cased,fill-mask,10,128,6,2,4,1, -multicast-weights,2,fp16,best-throughput,672.4,62.8,18.2,
dbmdz/electra-base-german-europeana-cased-discriminator,default,10,128,2,7,2,1, ,3,fp16,best-throughput,2325.1,91.6,38.1,
DeepPavlov/rubert-base-cased-conversational,feature-extraction,4,128,1,14,4,, ,4,fp16,best-throughput,2184.8,105.1,34.9,
DeepPavlov/rubert-base-cased-sentence,feature-extraction,5,128,1,14,2,1, ,4,fp16,best-throughput,2070,157.7,33.9,
deepset/roberta-base-squad2,question-answering,10,128,2,7,1,1, ,2,fp16,best-throughput,2152.3,66,35.1,
deepset/xlm-roberta-large-squad2,question-answering,9,128,3,4,2,1, -multicast-weights,4,fp16,best-throughput,639.1,237.5,12.1,
distilbert-base-cased,default,5,128,1,14,1,1, ,4,fp16,best-throughput,4904.1,57.7,81.7,
distilbert-base-cased-distilled-squad,question-answering,5,128,1,14,2,1, ,3,fp16,best-throughput,4924.2,43.5,81.6,
distilbert-base-german-cased,fill-mask,2,128,7,2,1,1, -multicast-weights,3,fp16,best-throughput,708.5,18,16.6,
distilbert-base-multilingual-cased,fill-mask,1,128,6,2,4,1, ,3,fp16,best-throughput,174,38.9,6.1,
distilbert-base-uncased,question-answering,8,128,2,7,2,1, -multicast-weights,1,fp16,best-throughput,4728.1,12.2,130.9,
distilbert-base-uncased-distilled-squad,question-answering,5,128,1,14,4,1, ,4,fp16,best-throughput,4741,61.6,126.4,
distilbert-base-uncased-finetuned-sst-2-english,text-classification,8,128,2,7,2,1, ,4,fp16,best-throughput,4965.8,46.1,132.4,
distilroberta-base,fill-mask,1,128,6,2,4,, -multicast-weights,4,fp16,best-throughput,431.3,18.6,11.6,
dslim/bert-base-NER,token-classification,4,128,2,7,1,1, -multicast-weights,4,fp16,best-throughput,2259.8,51,60.3,
dslim/bert-base-NER-uncased,token-classification,10,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,2525.3,83.6,42.6,
emilyalsentzer/Bio_ClinicalBERT,fill-mask,6,128,3,4,2,3, ,2,fp16,best-throughput,711.4,84.2,16.7,
finiteautomata/beto-sentiment-analysis,text-classification,5,128,1,14,1,, -multicast-weights,4,fp16,best-throughput,2490,115.1,40.2,
google/bert_uncased_L-2_H-128_A-2,default,10,128,1,14,2,, ,2,fp16,best-throughput,141410.5,2.3,2586.8,
google/electra-base-discriminator,question-answering,8,128,2,7,4,1, -multicast-weights,1,fp16,best-throughput,2402.1,23.6,38.4,
google/electra-small-discriminator,default,16,128,1,14,4,, ,3,fp16,best-throughput,12143.8,62.5,209.4,
hfl/chinese-bert-wwm-ext,fill-mask,8,128,3,4,4,3, -multicast-weights,2,fp16,best-throughput,983.8,67.5,20.6,
hfl/chinese-electra-180g-base-discriminator,default,5,128,1,14,1,1, ,3,fp16,best-throughput,2249.7,94.4,36.1,
hfl/chinese-roberta-wwm-ext,fill-mask,4,128,3,4,2,3, ,3,fp16,best-throughput,992.4,57.4,19.6,
kit-nlp/bert-base-japanese-sentiment-cyberbullying,default,5,128,1,14,4,1, -multicast-weights,2,fp16,best-throughput,2247.6,63.1,36.3,
klue/bert-base,fill-mask,2,128,6,2,1,, -multicast-weights,3,fp16,best-throughput,672.1,18.1,13.4,
m3hrdadfi/bert-fa-base-uncased-wikinli,text-classification,5,128,1,14,2,1, ,4,fp16,best-throughput,2309.1,123.3,37.2,
Maltehb/danish-bert-botxo,fill-mask,6,128,7,2,2,7, -multicast-weights,2,fp16,best-throughput,663,38.6,16.3,
microsoft/codebert-base,feature-extraction,8,128,2,7,1,1, -multicast-weights,3,fp16,best-throughput,2340.4,73.3,38.4,
microsoft/deberta-v3-base,fill-mask,1,128,3,4,4,, -multicast-weights,2,fp16,best-throughput,162,57.7,4.5,
microsoft/deberta-v3-small,fill-mask,1,128,7,2,1,7, ,4,fp16,best-throughput,160.7,58.1,5.3,
monologg/bert-base-cased-goemotions-original,default,16,128,2,7,4,1, ,4,fp16,best-throughput,2101,216.1,35.2,
mrm8488/bert-spanish-cased-finetuned-ner,token-classification,10,128,2,7,2,1, -multicast-weights,2,fp16,best-throughput,2329.6,61.9,38.2,
nlptown/bert-base-multilingual-uncased-sentiment,text-classification,8,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,2321.2,74.2,38.1,
prajjwal1/bert-mini,default,10,128,1,14,2,1, ,2,fp16,best-throughput,34759.1,8.5,617,
prajjwal1/bert-tiny,default,16,128,1,14,2,1, -multicast-weights,2,fp16,best-throughput,142310.8,3.5,2496.7,
ProsusAI/finbert,text-classification,4,128,1,14,4,1, ,1,fp16,best-throughput,2068.1,31.7,34.3,
roberta-base,question-answering,8,128,2,7,1,1, -multicast-weights,1,fp16,best-throughput,2355.5,24.1,38.6,
roberta-base,fill-mask,7,128,7,2,4,1, ,2,fp16,best-throughput,426.2,74.2,11.6,
roberta-large,question-answering,4,128,2,6,1,1, -multicast-weights,1,fp16,best-throughput,615.5,40.1,19.7,
roberta-large,fill-mask,4,128,2,7,4,1, ,4,fp16,best-throughput,382.8,306.4,12.5,
roberta-large-mnli,default,12,128,4,3,2,1, -multicast-weights,1,fp16,best-throughput,619.5,60.1,11.5,
Rostlab/prot_bert,question-answering,4,128,4,3,1,1, -multicast-weights,1,fp16,best-throughput,457.4,27.1,9,
sentence-transformers/all-distilroberta-v1,default,10,128,2,7,1,1, -multicast-weights,2,fp16,best-throughput,4515.2,31.4,74,
sentence-transformers/all-MiniLM-L6-v2,default,4,128,1,14,2,, ,4,fp16,best-throughput,10388.6,22.1,176.1,
sentence-transformers/all-mpnet-base-v2,default,6,128,2,7,1,1, ,4,fp16,best-throughput,2215.7,76.7,35.7,
sentence-transformers/bert-base-nli-mean-tokens,default,6,128,2,7,2,1, -multicast-weights,1,fp16,best-throughput,2096.7,20.7,35.5,
sentence-transformers/distilbert-base-nli-stsb-mean-tokens,default,6,128,2,7,2,, -multicast-weights,2,fp16,best-throughput,4172.5,20.3,69.2,
sentence-transformers/msmarco-distilbert-base-tas-b,default,10,128,2,7,1,1, ,3,fp16,best-throughput,4539.3,46.8,74.4,
sentence-transformers/paraphrase-MiniLM-L6-v2,default,4,128,1,14,2,, -multicast-weights,3,fp16,best-throughput,10353.4,16.6,175.5,
sentence-transformers/paraphrase-mpnet-base-v2,default,8,128,2,7,4,1, -multicast-weights,3,fp16,best-throughput,2208.2,76.9,36.2,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,default,6,128,1,14,2,1, ,4,fp16,best-throughput,5111.8,66.4,88.1,
sentence-transformers/paraphrase-xlm-r-multilingual-v1,default,4,128,1,14,4,1, ,2,fp16,best-throughput,2042.1,56.3,32.4,
tals/albert-xlarge-vitaminc-mnli,default,6,128,12,1,1,, ,1,fp16,best-throughput,92.8,65,2.1,
vinai/bertweet-base,default,5,128,1,14,2,1, -multicast-weights,3,fp16,best-throughput,2373.8,89.7,38.3,
vinai/phobert-base,default,10,128,2,7,2,1, ,2,fp16,best-throughput,2325.8,61.1,38.1,
xlm-roberta-base,default,4,128,1,14,4,1, ,3,fp16,best-throughput,2058.2,83.5,32.7,
xlm-roberta-large,default,6,128,2,7,2,1, -multicast-weights,3,fp16,best-throughput,678.9,188.3,21.7,
xlm-roberta-large-finetuned-conll03-english,token-classification,4,128,2,7,1,1, ,4,fp16,best-throughput,618.2,194.1,10,
yiyanghkust/finbert-tone,text-classification,4,128,1,14,4,1, -multicast-weights,4,fp16,best-throughput,2391.6,96.4,39.9,
,,,,,,,,,,,,,,,
albert-base-v2,question-answering,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,,,,
albert-base-v2,question-answering,1,128,12,1,2,12, ,1,fp16,best-latency,531.9,1.99,13,
albert-base-v2,default,1,128,12,1,2,12, -multicast-weights,1,fp16,best-latency,496.7,2.06,13.8,
allenai/scibert_scivocab_uncased,default,1,128,12,1,1,12, ,1,fp16,best-latency,498.8,1.99,16.6,
avichr/heBERT_sentiment_analysis,text-classification,1,128,14,1,1,1, ,1,fp16,best-latency,494.8,2.08,15,
BaptisteDoyen/camembert-base-xnli,default,1,128,14,1,2,1, ,1,fp16,best-latency,454,2.22,13,
beomi/kcbert-base,fill-mask,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,159.1,6.67,5.9,
bert-base-cased,question-answering,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,483.8,2.12,14.4,
bert-base-cased,fill-mask,1,128,14,1,1,1, ,1,fp16,best-latency,190.7,6.61,6.7,
bert-base-chinese,fill-mask,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,279.4,4.72,10.2,
bert-base-german-cased,fill-mask,1,128,14,1,1,1, -multicast-weights,1,fp16,best-latency,163,6.7,6.2,
bert-base-multilingual-cased,fill-mask,1,128,14,1,1,1, -multicast-weights,1,fp16,best-latency,45.5,23.1,2.3,
bert-base-multilingual-uncased,fill-mask,1,128,12,1,1,12, ,1,fp16,best-latency,57.7,19.72,2.4,
bert-base-uncased,question-answering,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,,,,
bert-base-uncased,question-answering,1,128,14,1,1,, -multicast-weights,1,fp16,best-latency,442.9,2.37,12.9,
bert-base-uncased,fill-mask,1,128,14,1,1,14, ,1,fp16,best-latency,145.5,6.84,7.7,
bert-large-uncased,question-answering,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,169.7,5.97,4.3,
bert-large-uncased,fill-mask,1,128,14,1,1,14, ,1,fp16,best-latency,89.4,11.51,2.6,
bert-large-uncased-whole-word-masking-finetuned-squad,default,1,128,12,1,1,12, ,1,fp16,best-latency,159.2,6.42,4.7,
bhadresh-savani/distilbert-base-uncased-emotion,text-classification,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,829.4,1.18,26.2,
camembert-base,fill-mask,1,128,14,1,1,14, ,1,fp16,best-latency,153.4,7.03,5.7,
cardiffnlp/twitter-roberta-base-sentiment,text-classification,1,128,12,1,2,12, -multicast-weights,1,fp16,best-latency,493.7,2.1,15.8,
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,1,128,12,1,1,12, ,1,fp16,best-latency,499.2,2.02,14.7,
ckiplab/albert-tiny-chinese,fill-mask,1,128,12,1,1,1, ,1,fp16,best-latency,476.8,2.15,22,
classla/bcms-bertic-ner,token-classification,1,128,14,1,2,14, ,1,fp16,best-latency,499,2.02,15.1,
cl-tohoku/bert-base-japanese,fill-mask,1,128,14,1,1,1, -multicast-weights,1,fp16,best-latency,154.2,7.06,5.4,
cl-tohoku/bert-base-japanese-char,fill-mask,1,128,12,1,1,12, ,1,fp16,best-latency,444.1,2.56,11.8,
cl-tohoku/bert-base-japanese-whole-word-masking,fill-mask,1,128,12,1,1,12, ,1,fp16,best-latency,139.4,7.22,6.1,
cross-encoder/ms-marco-MiniLM-L-12-v2,text-classification,1,128,7,2,1,1, -multicast-weights,1,fp16,best-latency,1884.7,1.18,46.7,
dbmdz/bert-base-italian-xxl-cased,fill-mask,1,128,14,1,1,14, ,1,fp16,best-latency,136.9,7.37,6,
dbmdz/electra-base-german-europeana-cased-discriminator,default,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,471.6,2.2,14.7,
DeepPavlov/rubert-base-cased-conversational,feature-extraction,1,128,14,1,1,1, -multicast-weights,1,fp16,best-latency,461.8,2.21,12.6,
DeepPavlov/rubert-base-cased-sentence,feature-extraction,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,498.5,2.02,14,
deepset/roberta-base-squad2,question-answering,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,452.7,2.22,12,
deepset/xlm-roberta-large-squad2,question-answering,1,128,12,1,1,12, ,1,fp16,best-latency,159.6,6.38,4.5,
distilbert-base-cased,default,1,128,12,1,1,12, ,1,fp16,best-latency,829.9,1.2,27.4,
distilbert-base-cased-distilled-squad,question-answering,1,128,14,1,1,14, ,1,fp16,best-latency,830.4,1.21,23.7,
distilbert-base-german-cased,fill-mask,1,128,12,1,1,12, ,1,fp16,best-latency,249,5.81,11.5,
distilbert-base-multilingual-cased,fill-mask,1,128,12,1,2,12, -multicast-weights,1,fp16,best-latency,61.8,21.24,2.4,
distilbert-base-uncased,question-answering,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,842.1,1.2,25,
distilbert-base-uncased-distilled-squad,question-answering,1,128,14,1,1,1, ,1,fp16,best-latency,827.6,1.21,25.6,
distilbert-base-uncased-finetuned-sst-2-english,text-classification,1,128,12,1,1,, -multicast-weights,1,fp16,best-latency,736.6,1.38,25.7,
distilroberta-base,fill-mask,1,128,14,1,2,1, ,1,fp16,best-latency,110.2,9.89,5.4,
dslim/bert-base-NER,token-classification,1,128,12,1,1,12, ,1,fp16,best-latency,515.9,1.99,13,
dslim/bert-base-NER-uncased,token-classification,1,128,12,1,1,12, ,1,fp16,best-latency,530.9,1.94,13.7,
emilyalsentzer/Bio_ClinicalBERT,fill-mask,1,128,14,1,1,1, ,1,fp16,best-latency,201.2,6.4,7.2,
finiteautomata/beto-sentiment-analysis,text-classification,1,128,12,1,2,12, ,1,fp16,best-latency,496.9,2.05,15.9,
google/bert_uncased_L-2_H-128_A-2,default,1,128,2,7,2,1, ,1,fp16,best-latency,33919.1,0.2,1338.9,
google/electra-base-discriminator,question-answering,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,,,,
google/electra-base-discriminator,question-answering,1,128,12,1,2,12, -multicast-weights,1,fp16,best-latency,498.8,2.02,13.5,
google/electra-small-discriminator,default,1,128,12,1,1,12, ,1,fp16,best-latency,961.9,1.16,42.4,
hfl/chinese-bert-wwm-ext,fill-mask,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,196.7,5.09,8.4,
hfl/chinese-electra-180g-base-discriminator,default,1,128,14,1,1,1, -multicast-weights,1,fp16,best-latency,441.6,2.35,12.3,
hfl/chinese-roberta-wwm-ext,fill-mask,1,128,14,1,1,14, ,1,fp16,best-latency,246,5.1,8.2,
kit-nlp/bert-base-japanese-sentiment-cyberbullying,default,1,128,12,1,1,12, ,1,fp16,best-latency,498.3,1.99,13.5,
klue/bert-base,fill-mask,1,128,14,1,1,1, ,1,fp16,best-latency,142.5,7.12,6.2,
m3hrdadfi/bert-fa-base-uncased-wikinli,text-classification,1,128,12,1,2,12, ,1,fp16,best-latency,496.5,2.05,15.5,
Maltehb/danish-bert-botxo,fill-mask,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,138.9,7.3,5.6,
microsoft/codebert-base,feature-extraction,1,128,12,1,2,12, ,1,fp16,best-latency,452.7,2.3,12.1,
microsoft/deberta-v3-base,fill-mask,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,41.2,25.37,2.7,
microsoft/deberta-v3-small,fill-mask,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,49.9,22.9,2.2,
monologg/bert-base-cased-goemotions-original,default,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,498.5,1.99,14.1,
mrm8488/bert-spanish-cased-finetuned-ner,token-classification,1,128,14,1,2,14, ,1,fp16,best-latency,495.8,2.05,15,
nlptown/bert-base-multilingual-uncased-sentiment,text-classification,1,128,12,1,2,12, -multicast-weights,1,fp16,best-latency,498.4,2.01,13.5,
prajjwal1/bert-mini,default,1,128,2,7,1,1, ,1,fp16,best-latency,17112.7,0.41,394.9,
prajjwal1/bert-tiny,default,1,128,1,14,1,1, ,1,fp16,best-latency,68062.1,0.21,2294.2,
ProsusAI/finbert,text-classification,1,128,12,1,1,12, ,1,fp16,best-latency,525.1,1.99,13.2,
roberta-base,question-answering,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,,,,
roberta-base,question-answering,1,128,12,1,2,12, -multicast-weights,1,fp16,best-latency,489.5,2.14,15.1,
roberta-base,fill-mask,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,110.4,10.39,4.6,
roberta-large,question-answering,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,,,,
roberta-large,question-answering,1,128,14,1,1,14, ,1,fp16,best-latency,169.6,6.03,4.2,
roberta-large,fill-mask,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,68.8,15.14,2.5,
roberta-large-mnli,default,1,128,14,1,1,14, -multicast-weights,1,fp16,best-latency,159.8,6.41,4.5,
Rostlab/prot_bert,question-answering,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,,,,
Rostlab/prot_bert,question-answering,1,128,14,1,2,1, ,1,fp16,best-latency,124.5,8.16,3.4,
sentence-transformers/all-distilroberta-v1,default,1,128,12,1,2,12, ,1,fp16,best-latency,961.2,1.12,27.7,
sentence-transformers/all-MiniLM-L6-v2,default,1,128,7,2,1,7, ,1,fp16,best-latency,3119.7,0.76,85.1,
sentence-transformers/all-mpnet-base-v2,default,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,428.7,2.34,12.6,
sentence-transformers/bert-base-nli-mean-tokens,default,1,128,14,1,1,14, ,1,fp16,best-latency,453.4,2.21,13.2,
sentence-transformers/distilbert-base-nli-stsb-mean-tokens,default,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,829.5,1.18,24.4,
sentence-transformers/msmarco-distilbert-base-tas-b,default,1,128,12,1,1,12, ,1,fp16,best-latency,823.1,1.29,23.5,
sentence-transformers/paraphrase-MiniLM-L6-v2,default,1,128,6,2,1,1, ,1,fp16,best-latency,3306,0.61,116.7,
sentence-transformers/paraphrase-mpnet-base-v2,default,1,128,12,1,2,12, -multicast-weights,1,fp16,best-latency,453.7,2.21,13.3,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,default,1,128,7,2,1,7, ,1,fp16,best-latency,1801.7,1.2,48.7,
sentence-transformers/paraphrase-xlm-r-multilingual-v1,default,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,447.6,2.31,14,
tals/albert-xlarge-vitaminc-mnli,default,1,128,14,1,1,14, ,1,fp16,best-latency,44.2,22.71,1,
vinai/bertweet-base,default,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,512.9,2.01,12.7,
vinai/phobert-base,default,1,128,14,1,1,14, ,1,fp16,best-latency,478,2.21,15.4,
xlm-roberta-base,default,1,128,12,1,1,12, -multicast-weights,1,fp16,best-latency,498.2,1.99,16.4,
xlm-roberta-large,default,1,128,14,1,2,1, ,1,fp16,best-latency,151.3,6.73,4.1,
xlm-roberta-large-finetuned-conll03-english,token-classification,1,128,14,1,1,1, -multicast-weights,1,fp16,best-latency,169.8,6.02,5.1,
yiyanghkust/finbert-tone,text-classification,1,128,12,1,1,12, ,1,fp16,best-latency,530.7,1.97,13.6,
,,,,,,,,,,,,,,,
bert-base-cased,question-answering,2,128,6,2,1,6, -multicast-weights,1,fp16,balanced,,,,
bert-base-uncased,question-answering,2,128,6,2,1,6, -multicast-weights,1,fp16,balanced,,,,
bert-large-uncased,question-answering,2,128,7,2,1,7, -multicast-weights,1,fp16,balanced,,,,
distilbert-base-uncased,question-answering,2,128,6,2,1,6, -multicast-weights,1,fp16,balanced,,,,
google/electra-base-discriminator,question-answering,2,128,1,12,1,1, -multicast-weights,1,fp16,balanced,,,,
roberta-base,question-answering,2,128,6,2,2,6, -multicast-weights,1,fp16,balanced,,,,
roberta-large,question-answering,2,128,7,2,1,7, -multicast-weights,1,fp16,balanced,,,,
Rostlab/prot_bert,question-answering,2,128,7,2,1,7, -multicast-weights,1,fp16,balanced,,,,
